Student ID,Homework 1,Homework 2,Homework 3,Exam,Homework Avg,Overall Mark,Grade
1,0.0,94,34.0,42.0,42.7,42.18,D-
2,35.0,94,85.0,45.0,71.3,51.58,D+
3,31.0,46,22.0,48.0,33.0,44.25,D-
4,46.0,90,60.0,50.0,65.3,53.82,D+
5,52.0,94,49.0,50.0,65.0,53.75,D+
6,58.0,94,30.0,51.0,60.7,53.42,D+
7,47.0,90,0.0,52.0,45.7,50.42,D+
8,37.0,94,25.0,52.0,52.0,52.0,D+
9,35.0,94,45.0,54.0,58.0,55.0,C-
10,57.0,94,100.0,54.0,83.7,61.42,C
11,51.0,94,5.0,54.0,50.0,53.0,D+
12,45.0,94,33.0,55.0,57.3,55.58,C-
13,44.0,0,35.0,55.0,26.3,47.82,D
14,52.0,95,56.0,56.0,67.7,58.92,C-
15,35.0,94,0.0,57.0,43.0,53.5,D+
16,57.0,97,57.0,57.0,70.3,60.32,C
17,45.0,90,71.0,57.0,68.7,59.92,C-
18,39.0,94,54.0,57.0,62.3,58.32,C-
19,31.0,94,63.0,57.0,62.7,58.42,C-
20,45.0,94,0.0,59.0,46.3,55.82,C-
21,35.0,90,84.0,59.0,69.7,61.68,C
22,37.0,90,40.0,61.0,55.7,59.68,C-
23,83.0,97,26.0,61.0,68.7,62.92,C
24,68.0,97,55.0,62.0,73.3,64.82,C
25,50.0,95,56.0,62.0,67.0,63.25,C
26,77.0,93,0.0,63.0,56.7,61.42,C
27,84.0,48,18.0,63.0,50.0,59.75,C-
28,45.0,90,21.0,63.0,52.0,60.25,C
29,62.0,95,38.0,63.0,65.0,63.5,C
30,38.0,94,40.0,64.0,57.3,62.32,C
31,50.0,90,0.0,64.0,46.7,59.68,C-
32,32.0,90,38.0,64.0,53.3,61.32,C
33,44.0,90,43.0,65.0,59.0,63.5,C
34,57.0,94,52.0,68.0,67.7,67.92,C+
35,50.0,94,39.0,70.0,61.0,67.75,C+
36,55.0,90,62.0,71.0,69.0,70.5,B-
37,43.0,94,54.0,72.0,63.7,69.92,C+
38,50.0,90,30.0,74.0,56.7,69.68,C+
39,54.0,90,82.0,77.0,75.3,76.58,B
40,64.0,95,5.0,78.0,54.7,72.18,B-
41,85.0,95,0.0,79.0,60.0,74.25,B-
42,63.0,90,62.0,82.0,71.7,79.42,B
43,75.0,90,35.0,83.0,66.7,78.92,B
44,86.0,97,39.0,84.0,74.0,81.5,B+
45,77.0,95,79.0,84.0,83.7,83.92,B+
46,79.0,94,35.0,86.0,69.3,81.82,B+
47,86.0,98,57.0,87.0,80.3,85.32,A-
48,71.0,90,9.0,89.0,56.7,80.92,B+
49,45.0,94,72.0,90.0,70.3,85.08,A-
50,90.0,94,68.0,92.0,84.0,90.0,A
51,89.0,94,53.0,93.0,78.7,89.42,A-
52,90.0,98,79.0,98.0,89.0,95.75,A+
53,57.0,92,40.0,0.0,63.0,15.75,F
54,36.0,94,54.0,22.0,61.3,31.82,E
